1-cysPrx_C	80,189,172
ABA_WDS	255,255,255
ABC-3	190,102,215
ABC1	197,149,67
ABC2_membrane	139,217,106
ABC2_membrane_2	70,194,214
ABC2_membrane_3	151,189,55
ABC2_membrane_4	203,161,59
ABC2_membrane_5	176,207,85
ABC2_membrane_6	223,99,59
ABC_ATPase	255,255,255
ABC_cobalt	255,255,255
ABC_export	255,255,255
ABC_membrane	149,226,73
ABC_membrane_2	120,179,45
ABC_membrane_3	255,255,255
ABC_sub_bind	255,255,255
ABC_tran	129,201,63
ABC_tran_2	255,255,255
ABC_tran_CTD	180,67,143
ABC_tran_Xtn	54,177,199
ABC_trans_CmpB	255,255,255
ABC_trans_N	200,225,88
ABC_trans_aux	99,207,73
ABC_transp_aux	255,255,255
ABG_transport	88,217,101
ABM	193,84,127
ACAS_N	54,78,195
ACBP	150,185,75
ACCA	66,101,203
ACC_central	50,65,192
ACC_epsilon	226,73,128
ACD	255,255,255
ACDC	255,255,255
ACI44	255,255,255
ACOX	160,60,188
ACP	255,255,255
ACP53EA	255,255,255
ACPS	85,184,135
ACP_PD	255,255,255
ACP_syn_III	189,102,84
ACP_syn_III_C	146,207,81
ACR_tran	63,191,60
ACT	67,209,69
ACTH_assoc	255,255,255
ACTH_domain	255,255,255
ACTL7A_N	255,255,255
ACT_3	57,199,228
ACT_4	190,120,83
ACT_5	255,255,255
ACT_6	99,192,209
ACT_7	227,81,80
AC_N	255,255,255
AChE_tetra	255,255,255
AD	255,255,255
ADAM17_MPD	255,255,255
ADAM_CR	255,255,255
ADAM_spacer1	255,255,255
ADC	80,180,156
ADH_N	211,65,138
ADH_N_2	185,119,52
ADH_N_assoc	221,55,66
ADH_zinc_N	81,108,215
ADH_zinc_N_2	101,131,226
ADI	132,95,190
ADIP	255,255,255
ADK	200,63,145
ADK_lid	255,255,255
ADPRTs_Tse2	203,101,175
ADP_PFK_GK	255,255,255
ADP_ribosyl_GH	215,124,105
ADPrib_exo_Tox	85,213,132
ADSL_C	198,156,85
AEP1	255,255,255
AF-4	255,255,255
AF0941-like	255,255,255
AF2331-like	255,255,255
AFG1_ATPase	61,181,219
AFOR_C	255,255,255
AFOR_N	255,255,255
AFP	255,255,255
AFT	255,255,255
AGA2	255,255,255
AGH	255,255,255
AGOG	255,255,255
AGP	255,255,255
AGS_C	131,209,103
AGT	255,255,255
AGTRAP	255,255,255
AHH	211,67,212
AHJR-like	181,90,100
AHL_synthase	255,255,255
AHSA1	81,199,171
AHSP	255,255,255
AI-2E_transport	226,96,145
AIB	255,255,255
AICARFT_IMPCHas	212,188,65
AIDA	255,255,255
AIF-MLS	255,255,255
AIF_C	255,255,255
AIG1	255,255,255
AIG2_2	224,105,141
AIM24	186,55,82
AIM3	255,255,255
AIM5	255,255,255
AIMP2_LysRS_bd	255,255,255
AIP3	255,255,255
AIPR	85,224,124
AIRC	73,174,200
AIRS	215,196,78
AIRS_C	182,125,70
AJAP1_PANP_C	255,255,255
AKAP28	255,255,255
AKAP2_C	255,255,255
AKAP7_NLS	255,255,255
AKAP7_RIRII_bdg	255,255,255
AKAP95	255,255,255
AKAP_110	255,255,255
AKNA	255,255,255
ALAD	119,78,220
ALC	255,255,255
ALF	255,255,255
ALG11_N	255,255,255
ALG3	255,255,255
ALGX	104,217,140
ALIX_LYPXL_bnd	255,255,255
ALMS_motif	255,255,255
ALMT	255,255,255
ALO	58,139,185
ALP_N	97,119,222
ALS2CR11	255,255,255
ALS2CR8	255,255,255
ALS_ss_C	93,227,61
AMA-1	255,255,255
AMH_N	255,255,255
AMIN	73,137,207
AMMECR1	112,75,190
AMNp_N	63,95,223
AMO	255,255,255
AMOP	255,255,255
AMP-binding	60,217,223
AMP-binding_C	182,50,118
AMP-binding_C_2	184,90,149
AMPK1_CBM	255,255,255
AMPKBI	255,255,255
AMP_N	91,200,145
ANAPC1	255,255,255
ANAPC10	255,255,255
ANAPC15	255,255,255
ANAPC16	255,255,255
ANAPC2	255,255,255
ANAPC3	158,66,183
ANAPC4	255,255,255
ANAPC4_WD40	126,57,194
ANAPC5	215,83,158
ANAPC8	255,255,255
ANAPC9	255,255,255
ANAPC_CDC26	255,255,255
ANATO	255,255,255
ANF_receptor	255,255,255
ANKH	255,255,255
ANP	255,255,255
ANT	255,255,255
ANTAR	113,53,203
ANTH	255,255,255
ANXA2R	255,255,255
AOC_like	160,190,64
AOX	255,255,255
AP-5_subunit_s1	255,255,255
AP1AR	255,255,255
AP2	83,188,137
AP3B1_C	255,255,255
AP3D1	255,255,255
AP4E_app_platf	255,255,255
APA3_viroporin	255,255,255
APAF1_C	91,185,48
APCDDC	255,255,255
APC_15aa	255,255,255
APC_N_CC	255,255,255
APC_basic	255,255,255
APC_r	255,255,255
APC_u13	255,255,255
APC_u14	255,255,255
APC_u15	255,255,255
APC_u5	255,255,255
APC_u9	255,255,255
APG12	255,255,255
APG17	63,195,129
APG5	255,255,255
APG6	255,255,255
APG9	255,255,255
APH	106,220,228
APH_6_hur	92,202,190
API5	255,255,255
APOBEC_C	255,255,255
APOBEC_N	255,255,255
APOC4	255,255,255
APO_RNA-bind	255,255,255
APP_Cu_bd	255,255,255
APP_E2	255,255,255
APP_N	255,255,255
APP_amyloid	255,255,255
APS-reductase_C	255,255,255
APS_kinase	48,131,188
APT	255,255,255
AP_endonuc_2	69,222,207
AP_endonuc_2_N	64,103,179
ARA70	255,255,255
ARD	49,194,66
ARF7EP_C	255,255,255
ARGLU	255,255,255
ARHGEF5_35	255,255,255
ARID	225,146,111
ARL17	255,255,255
ARL2_Bind_BART	255,255,255
ARL6IP6	255,255,255
AROS	255,255,255
ARPC4	255,255,255
ARS2	255,255,255
ART	255,255,255
ART-PolyVal	189,50,190
AS-2OG-FeII_Oxy	189,85,202
AS-A-OX	76,145,210
AS-ADH_N	97,67,195
AS-ADH_zinc_N	54,186,96
AS-ADSI-DH	99,67,189
AS-AMP-binding	75,101,196
AS-APE_KS1	80,179,176
AS-APE_KS2	211,87,91
AS-APH	86,224,183
AS-ATP-grasp	73,76,214
AS-ATP-grasp_3	181,77,130
AS-ATd	190,170,78
AS-Abhydrolase_6	62,141,186
AS-Abi	70,207,67
AS-Acyl-CoA_dh_1	214,76,89
AS-Acyl-CoA_dh_M	227,97,122
AS-Acyl-CoA_dh_N	93,200,209
AS-AfsA	183,96,83
AS-AgrB	92,85,204
AS-Alpha-amylase	212,86,56
AS-Alpha-amylase_C	149,96,216
AS-Aminotran_3	180,119,56
AS-Antimicr18	97,126,214
AS-Antimicrobial17	177,73,207
AS-Asn_synthase	75,216,73
AS-Autoind_synth	209,61,225
AS-AvrD	91,143,214
AS-BLS	192,81,121
AS-Bac_transf	76,209,65
AS-BacteriocIIc_cy	51,78,184
AS-Bacteriocin_II	124,215,56
AS-Bacteriocin_IIc	189,136,93
AS-Bacteriocin_IId	84,138,211
AS-Bacteriocin_IIi	86,224,183
AS-CAS	59,175,222
AS-CBM_48	111,224,144
AS-CDPS	184,66,140
AS-CaiA	163,181,82
AS-Capsule_synth	106,152,221
AS-Carbam_trans_N	59,175,222
AS-Chal_sti_synt_C	155,210,89
AS-Chal_sti_synt_N	59,197,194
AS-Condensation	151,91,208
AS-Cy_tandem	218,57,76
AS-CyanoBH_Asp1	215,201,92
AS-CyanoBH_Asp2	138,76,229
AS-DHQ_synthase	222,79,226
AS-DOIS	91,175,213
AS-DUF3328	198,203,70
AS-DUF4135	163,181,82
AS-DUF692	106,220,99
AS-DUF98	130,179,48
AS-DXP_synthase_N	182,77,165
AS-Dala_Dala_lig_C	194,65,61
AS-Dala_Dala_lig_N	184,151,73
AS-DarB	86,226,171
AS-DegT_DnrJ_EryC1	216,107,114
AS-EntA	209,107,84
AS-EntC	185,114,85
AS-Epimerase_2	228,68,163
AS-FMO-like	89,70,217
AS-FabF	64,214,180
AS-FbnL	225,204,70
AS-FbnM	75,101,196
AS-Fer4_12	66,72,213
AS-Flavoprotein	205,212,98
AS-GATase_7	66,183,190
AS-GST_C	155,210,89
AS-GST_N_3	69,142,229
AS-Gallidermin	60,214,216
AS-Glyco_tran_28_C	218,145,108
AS-Glyco_transf_28	124,186,66
AS-Glyco_transf_8	208,57,103
AS-Glyco_transf_8C	181,77,130
AS-Glyco_transf_9	151,72,212
AS-Glycos_transf_1	142,207,95
AS-Glycos_transf_2	178,71,189
AS-Glycos_transf_4	123,63,199
AS-Goadsporin_CD_RRE	104,185,227
AS-GrbD	178,71,189
AS-GrbE	216,117,98
AS-HMGL-like	66,183,190
AS-Heterocycloanthracin_C_RRE	78,182,189
AS-HopA1	189,203,97
AS-IBH_Asp	119,188,56
AS-IBH_His	84,190,179
AS-IPL	131,88,183
AS-IucA_IucC	75,187,197
AS-KtzT	202,56,68
AS-LANC_like	222,167,84
AS-L_biotic_A	210,174,68
AS-Lactococcin_972	85,186,80
AS-Lant_dehydr_C	83,164,186
AS-Lant_dehydr_N	189,84,81
AS-Lasso_Fused_RRE	123,89,218
AS-LcnG-beta	162,214,78
AS-LipM	57,95,203
AS-LipU	149,191,68
AS-LipV	206,62,115
AS-LmbU	78,203,107
AS-Lycopene_cycl	151,72,212
AS-Lys_monoox	152,189,75
AS-MGT	91,143,214
AS-Mac	132,86,194
AS-MannoseP_isomer	206,62,115
AS-MetRS-like	195,145,57
AS-Methyltransf_3	74,185,174
AS-MoeO5	65,219,184
AS-NAD_binding_4	143,217,104
AS-NHLP_CD_RRE	208,57,103
AS-NapT7	227,79,221
AS-NasY	179,136,82
AS-NeoL	77,188,91
AS-Neocarzinostat	83,78,199
AS-Orn_Arg_deC_N	73,76,214
AS-Orn_DAP_Arg_deC	210,73,183
AS-Orn_monoox	123,213,81
AS-Other_Sactipeptide_rSAM_RRE	49,136,180
AS-PCMT	224,102,121
AS-PF00561	229,100,152
AS-PF00881	221,76,71
AS-PF04055	227,79,221
AS-PF06968	162,214,78
AS-PF07366	199,109,71
AS-PF13471	84,192,192
AS-PIG-L	202,68,120
AS-PKS_AT	152,69,211
AS-PKS_KS	202,86,199
AS-PP-binding	122,201,72
AS-PPDK_N	140,214,70
AS-PUFA_KS	201,78,218
AS-Pantocin_Microcin_RRE	184,68,187
AS-Peptidase_C39	156,214,68
AS-Peptidase_M16	67,117,211
AS-Peptidase_M16_C	184,86,199
AS-Peptidase_M42	198,139,97
AS-Peptidase_M50	142,81,201
AS-Peptidase_S41	59,197,194
AS-Peptidase_S8	97,67,195
AS-Peptidase_S9	217,69,184
AS-PhyH	173,185,50
AS-Pkinase	179,136,82
AS-Plantazolicin_C_RRE	91,140,199
AS-PlpY_RRE	92,190,183
AS-Poly_export	77,188,91
AS-Polysacc_synt	67,117,211
AS-Polysacc_synt_2	185,114,85
AS-PoyD	54,186,96
AS-PpyS	109,181,66
AS-PqqD_RRE	55,161,208
AS-Proteusin_Epimerase_RRE	85,176,180
AS-PvdO	67,216,113
AS-PvdP	184,65,124
AS-Quinohemoprotein_rSAM_RRE	107,220,103
AS-RimK	62,141,186
AS-RmlD_sub_bind	95,197,218
AS-SBH_Asp	83,211,72
AS-SPASM	166,196,57
AS-SalSyn	173,185,50
AS-SpcDK_cou	199,109,71
AS-SpcDK_glyc	227,110,225
AS-SpcFG	132,86,194
AS-Stand_Alone_Lasso_RRE	73,137,221
AS-Streptide_RRE	212,56,161
AS-Subtilosin_A	97,127,207
AS-TBH_Asp	99,67,189
AS-TIGR01193	100,185,85
AS-TIGR01716	60,182,116
AS-TIGR02111	144,54,211
AS-TIGR02278	222,63,68
AS-TIGR02353	223,181,57
AS-TIGR03602	83,78,199
AS-TIGR03603	183,135,85
AS-TIGR03604	78,182,189
AS-TIGR03605	77,180,171
AS-TIGR03651	151,91,208
AS-TIGR03678	193,74,219
AS-TIGR03731	66,50,195
AS-TIGR03793	202,68,120
AS-TIGR03798	73,93,213
AS-TIGR03882	50,182,116
AS-TIGR03975	190,201,56
AS-TIGR04085	207,103,153
AS-TIGR04103	209,215,61
AS-TIGR04223	214,76,89
AS-TIGR04404	91,227,173
AS-TIGR04424	88,202,219
AS-TP_methylase	222,79,208
AS-TRI5	228,80,104
AS-Terpene_synth	75,216,73
AS-Terpene_synth_C	70,196,128
AS-TfuA	210,73,183
AS-ThiF	222,79,208
AS-Thiaglutamate_G_RRE	60,222,87
AS-Thiaglutamate_I_RRE	190,170,78
AS-Thiopeptide_F_RRE	189,85,202
AS-Thuricin_rSAM_RRE	70,191,165
AS-ToyB	139,189,78
AS-Trifolitoxin_RRE	229,100,152
AS-Trp_halogenase	176,189,76
AS-TunD	103,83,179
AS-ValA	160,95,220
AS-VbsL	140,214,70
AS-VibH_like	141,50,184
AS-Wzy_C	68,199,164
AS-YcaO	78,90,182
AS-adh_short	199,98,111
AS-adh_short_C2	61,216,59
AS-bacilysin	174,92,191
AS-botH	48,189,133
AS-bt1fas	141,50,184
AS-cyanobactin_synth	64,214,180
AS-cycdipepsynth	70,196,128
AS-cypI	91,157,194
AS-cypemycin	229,104,216
AS-dTDP_sugar_isom	50,182,116
AS-dmat	78,203,107
AS-ectoine_synt	216,107,114
AS-ene_KS	48,189,133
AS-fabH	123,213,81
AS-fom1	124,186,66
AS-frbD	87,168,204
AS-ft1fas	92,218,119
AS-fung_ggpps	201,100,191
AS-fung_ggpps2	64,95,198
AS-glycocin	46,136,180
AS-goadsporin_like	96,144,222
AS-hglD	156,214,68
AS-hglE	216,62,175
AS-hyb_KS	119,227,113
AS-indole_PTase	222,79,226
AS-indsynth	92,85,204
AS-itr_KS	213,93,175
AS-ksIII	224,102,121
AS-ladderane	218,57,76
AS-lasso	119,227,113
AS-leader_eh	189,223,97
AS-mature_ha	85,209,108
AS-mcjC	190,75,118
AS-melC	215,102,68
AS-micJ25	103,67,217
AS-micKC	179,224,72
AS-mmyO	77,209,215
AS-mod_KS	223,181,57
AS-moeGT	138,100,209
AS-mvd	211,87,91
AS-mvnA	74,185,174
AS-nikJ	152,69,211
AS-nikO	227,97,122
AS-novH	70,207,67
AS-novI	190,75,118
AS-novJ	80,82,182
AS-novK	201,78,218
AS-p450	228,80,104
AS-pgm1	80,82,182
AS-pgm_amidino	138,76,229
AS-phosphonates	84,66,184
AS-phytoene_synt	83,176,222
AS-phzB	195,129,97
AS-pop	213,93,175
AS-prnB	199,98,111
AS-pur10	75,216,101
AS-pur6	160,95,220
AS-salQ	146,186,55
AS-skfc	111,187,59
AS-strH	84,192,192
AS-strK1	92,190,183
AS-strK2	110,226,215
AS-strepbact	91,175,213
AS-sublancin	227,110,225
AS-subtilosin	118,217,107
AS-t2clf	210,174,68
AS-t2fas	111,187,59
AS-t2ks	60,222,87
AS-t2pks2	187,79,81
AS-tabtoxin	223,156,99
AS-terpene_cyclase	64,95,198
AS-thio_amide	71,168,183
AS-thiostrepton	89,202,221
AS-thuricin	56,181,162
AS-tra_KS	118,217,107
AS-trichodiene_synth	81,214,93
AS-truD	201,226,90
AS-ubiA	95,197,218
AS-ustH	181,79,95
AS-vlmB	122,201,72
ASC	255,255,255
ASCH	208,181,89
ASD1	255,255,255
ASD2	255,255,255
ASF1_hist_chap	207,79,116
ASFV_360	255,255,255
ASFV_J13L	255,255,255
ASFV_L11L	255,255,255
ASFV_p27	255,255,255
ASH	255,255,255
ASL_C	255,255,255
ASL_C2	107,69,187
ASPRs	255,255,255
ASRT	202,98,195
ASXH	255,255,255
ATAD4	255,255,255
ATC_hydrolase	255,255,255
ATE_C	255,255,255
ATE_N	255,255,255
ATF7IP_BD	255,255,255
ATG101	255,255,255
ATG11	255,255,255
ATG13	255,255,255
ATG16	255,255,255
ATG19_autophagy	255,255,255
ATG22	187,76,115
ATG27	255,255,255
ATG2_CAD	255,255,255
ATG7_N	255,255,255
ATG_C	255,255,255
ATHILA	255,255,255
ATLF	255,255,255
ATP-cone	186,70,213
ATP-grasp	86,179,93
ATP-grasp_2	76,220,127
ATP-grasp_3	84,156,185
ATP-grasp_4	197,156,74
ATP-grasp_5	194,96,199
ATP-grasp_6	73,181,185
ATP-gua_Ptrans	255,255,255
ATP-gua_PtransN	255,255,255
ATP-sulfurylase	255,255,255
ATP-synt	255,255,255
ATP-synt_10	255,255,255
ATP-synt_8	255,255,255
ATP-synt_A	255,255,255
ATP-synt_B	255,255,255
ATP-synt_C	255,255,255
ATP-synt_D	255,255,255
ATP-synt_DE	255,255,255
ATP-synt_DE_N	255,255,255
ATP-synt_E	255,255,255
ATP-synt_E_2	255,255,255
ATP-synt_Eps	255,255,255
ATP-synt_F	255,255,255
ATP-synt_F6	255,255,255
ATP-synt_G	255,255,255
ATP-synt_I	255,255,255
ATP-synt_J	255,255,255
ATP-synt_S1	255,255,255
ATP-synt_Z	255,255,255
ATP-synt_ab	187,135,93
ATP-synt_ab_C	255,255,255
ATP-synt_ab_N	145,94,227
ATP-synt_ab_Xtn	255,255,255
ATP11	255,255,255
ATP12	255,255,255
ATP13	255,255,255
ATP19	255,255,255
ATP1G1_PLM_MAT8	255,255,255
ATP_Ca_trans_C	255,255,255
ATP_bind_1	211,191,83
ATP_bind_2	183,184,73
ATP_bind_3	97,189,207
ATP_sub_h	255,255,255
ATP_synt_H	255,255,255
ATP_synth_reg	255,255,255
ATP_transf	255,255,255
ATPase	255,255,255
ATPase-cat_bd	255,255,255
ATPase_2	255,255,255
ATPase_gene1	255,255,255
ATPgrasp_N	71,115,198
ATPgrasp_ST	109,68,207
ATPgrasp_Ter	105,179,82
ATPgrasp_TupA	255,255,255
ATPgrasp_YheCD	255,255,255
ATR13	255,255,255
ATS	255,255,255
ATS3	255,255,255
ATXN-1_C	255,255,255
ATX_III	255,255,255
AT_hook	255,255,255
AUX_IAA	181,103,77
AWPM-19	255,255,255
AXE1	208,104,113
AXH	255,255,255
AXIN1_TNKS_BD	255,255,255
AZUL	255,255,255
A_amylase_inhib	92,208,181
A_deamin	255,255,255
A_deaminase	226,153,81
A_deaminase_N	255,255,255
A_thal_3526	255,255,255
Aa_trans	255,255,255
AadA_C	206,79,170
AalphaY_MDB	255,255,255
AbLIM_anchor	255,255,255
AbbA_antirepres	255,255,255
Abdominal-A	255,255,255
AbfB	196,151,68
AbfS_sensor	70,157,179
Abhydro_lipase	255,255,255
Abhydrolase_1	86,180,151
Abhydrolase_11	176,105,217
Abhydrolase_2	165,184,75
Abhydrolase_3	183,51,179
Abhydrolase_4	224,194,107
Abhydrolase_5	228,60,78
Abhydrolase_6	113,71,219
Abhydrolase_7	255,255,255
Abhydrolase_8	194,151,87
Abhydrolase_9	180,202,92
Abhydrolase_9_N	100,205,103
AbiEi_1	70,205,114
AbiEi_2	255,255,255
AbiEi_3	255,255,255
AbiEi_3_N	255,255,255
AbiEi_4	77,192,162
AbiEii	179,218,98
AbiGi	255,255,255
AbiGii_2	255,255,255
AbiH	255,255,255
AbiJ_NTD3	92,191,201
AbiJ_NTD4	179,89,217
AbiTii	217,176,91
Abi_2	255,255,255
Abi_C	83,222,204
Abi_HHR	255,255,255
Abp2	255,255,255
AbrB	95,98,223
AbrB-like	255,255,255
AbrB_C	91,89,192
Ac110_PIF	255,255,255
Ac76	255,255,255
Ac81	255,255,255
AcMNPV_Ac109	255,255,255
Acatn	255,255,255
AceK	199,93,220
AcetDehyd-dimer	216,81,210
Acetate_kinase	71,79,223
Acetone_carb_G	255,255,255
AcetylCoA_hyd_C	255,255,255
AcetylCoA_hydro	255,255,255
Acetyltransf_1	121,183,50
Acetyltransf_10	88,180,95
Acetyltransf_11	255,255,255
Acetyltransf_13	255,255,255
Acetyltransf_14	255,255,255
Acetyltransf_15	255,255,255
Acetyltransf_16	255,255,255
Acetyltransf_17	214,89,86
Acetyltransf_18	217,84,86
Acetyltransf_19	93,87,190
Acetyltransf_2	68,124,226
Acetyltransf_3	105,146,215
Acetyltransf_4	162,66,181
Acetyltransf_5	226,151,71
Acetyltransf_6	110,194,95
Acetyltransf_7	183,210,60
Acetyltransf_8	106,224,203
Acetyltransf_9	157,184,47
Acetyltransf_CG	80,197,99
Acid_PPase	255,255,255
Acid_phosphat_B	128,96,194
Aconitase	180,189,85
Aconitase_2_N	255,255,255
Aconitase_B_N	255,255,255
Aconitase_C	63,185,92
Acp26Ab	255,255,255
AcrZ	255,255,255
Act-Frag_cataly	255,255,255
ActA	255,255,255
Actin	255,255,255
Actin_micro	255,255,255
Actino_peptide	74,120,212
Activator-TraM	255,255,255
Activator_LAG-3	255,255,255
Activin_recp	255,255,255
Acyl-ACP_TE	255,255,255
Acyl-CoA_dh_1	85,191,117
Acyl-CoA_dh_2	106,185,56
Acyl-CoA_dh_C	208,149,57
Acyl-CoA_dh_M	225,186,97
Acyl-CoA_dh_N	105,135,218
Acyl-CoA_ox_N	255,255,255
Acyl-thio_N	255,255,255
AcylCoA_DH_N	209,59,129
AcylCoA_dehyd_C	255,255,255
Acyl_CoA_thio	255,255,255
Acyl_transf_1	59,176,209
Acyl_transf_2	255,255,255
Acyl_transf_3	50,152,200
Acylphosphatase	79,219,111
Acyltransf_2	207,103,153
Acyltransf_C	206,204,70
Acyltransferase	87,176,216
AdHead_fibreRBD	255,255,255
Ad_Cy_reg	188,59,78
Ad_cyc_g-alpha	255,255,255
Ada3	255,255,255
Ada_Zn_binding	176,85,197
Adap_comp_sub	255,255,255
Adaptin_N	255,255,255
Adaptin_binding	255,255,255
Adenine_deam_C	60,152,200
Adenine_glyco	83,189,103
Adeno_100	255,255,255
Adeno_52K	255,255,255
Adeno_E1A	255,255,255
Adeno_E1B_19K	255,255,255
Adeno_E1B_55K	255,255,255
Adeno_E1B_55K_N	255,255,255
Adeno_E3	255,255,255
Adeno_E3A	255,255,255
Adeno_E3B	255,255,255
Adeno_E3_14_5	255,255,255
Adeno_E3_15_3	255,255,255
Adeno_E3_CR1	255,255,255
Adeno_E3_CR2	255,255,255
Adeno_E4	255,255,255
Adeno_E4_34	255,255,255
Adeno_E4_ORF3	255,255,255
Adeno_GP19K	255,255,255
Adeno_IVa2	255,255,255
Adeno_PIX	255,255,255
Adeno_PV	255,255,255
Adeno_PVIII	255,255,255
Adeno_PX	255,255,255
Adeno_Penton_B	255,255,255
Adeno_VII	255,255,255
Adeno_hexon	255,255,255
Adeno_hexon_C	255,255,255
Adeno_knob	255,255,255
Adeno_shaft	255,255,255
Adeno_terminal	255,255,255
Adenosine_kin	255,255,255
Adenyl_cycl_N	255,255,255
Adenyl_transf	255,255,255
AdenylateSensor	255,255,255
Adenylate_cycl	255,255,255
Adenylsucc_synt	198,70,120
Adhes-Ig_like	255,255,255
Adhesin_Dr	255,255,255
Adhesin_E	255,255,255
Adhesin_P1	255,255,255
Adhesin_P1_N	219,174,68
Adipogenin	255,255,255
Adipokin_hormo	255,255,255
AdoHcyase	55,203,152
AdoHcyase_NAD	255,255,255
AdoMetDC_leader	255,255,255
AdoMet_MTase	255,255,255
AdoMet_Synthase	161,214,63
AdoMet_dc	104,90,186
Aegerolysin	255,255,255
Aerolysin	255,255,255
AfaD	255,255,255
Afaf	255,255,255
Afi1	255,255,255
AflR	86,63,214
AfsA	178,81,93
Aft1_HRA	255,255,255
Aft1_HRR	255,255,255
Aft1_OSA	255,255,255
AftA_C	141,193,90
AftA_N	99,215,68
Ag332	255,255,255
AgI_II_C2	145,198,98
Agarase_CBM	124,74,209
Agenet	186,223,78
Agglutinin	255,255,255
