bgc_id	motif_id	n_training_matches	score_threshold	score	hit_genes
BGC0000036	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000036	M0932	359	6.485	6.485	Carboxyl_trans,Sugar_tr
BGC0000036	MG1260_M1163_M1166	83	9.227	22.247	2-oxoacid_dh,AS-fabH_c18,FAD_binding_3_c5,FrsA-like
BGC0000036	MG1262_M1172_M1173	244	13.038	39.055	2-oxoacid_dh,AOC_like,AS-fabH_c18,FAD_binding_3_c5,FrsA-like
BGC0000036	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-42.85	Carboxyl_trans,Peptidase_M20
BGC0000036	MG276_M2671_M2745_M2836	43	-20.984	-16.148	AS-MGT_c0,AS-PP-binding_c10
BGC0000036	MG450_M0751_M2593_M2610	813	7.728	20.301	AS-MGT_c0,AS-RmlD_sub_bind_c29,GDP_Man_Dehyd,NTP_transferase
BGC0000038	M0099	50	9.754	9.754	FAD_binding_4;BBE,Thioesterase_c39
BGC0000038	M0320	121	6.9	6.9	AS-PF00561,NAD_binding_10
BGC0000038	M0932	359	6.485	6.485	Carboxyl_trans,Sugar_tr
BGC0000038	M1279	59	2.264	2.264	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans,Sugar_tr
BGC0000038	M2301	903	7.681	7.681	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000038	MG1887_M0366_M0416	424	-1.537	5.269	AS-PF00561,Sugar_tr
BGC0000038	MG534_M1402_M2238_M2261_M2265	1355	2.86	2.86	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000038	MG535_M1110_M1238_M2262_M2266	950	4.177	4.177	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000040	M0064	93	10.429	10.429	Metallophos,Thioesterase_c39
BGC0000040	MG1314_M1251_M1842	399	11.441	11.441	3HCDH_N;3HCDH,AS-PP-binding_c23
BGC0000040	MG1318_M0707_M1134_M1253_M1254_M2037	648	2.128	25.797	3HCDH_N;3HCDH,AS-Methyltransf_3_c0,AS-PP-binding_c23,HAD_2_c20
BGC0000040	MG450_M0751_M2593_M2610	813	7.728	7.728	GDP_Man_Dehyd,NTP_transferase
BGC0000042	M0064	93	10.429	10.429	Metallophos,Thioesterase_c39
BGC0000042	M0411	69	9.654	9.654	AS-AMP-binding_c21,AS-AMP-binding_c38
BGC0000042	M0448	314	7.189	7.189	AS-AMP-binding_c21,AS-PF00561
BGC0000042	M0674	165	7.524	7.524	AS-PF00561,Metallophos
BGC0000042	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000042	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-43.466	AS-AMP-binding_c21,AS-PF00561,AS-p450_c7
BGC0000042	MG403_M1476_M1496_M2005	63	-41.918	-27.18	AS-AMP-binding_c26,AS-AMP-binding_c38
BGC0000042	MG450_M0751_M2593_M2610	813	7.728	7.728	GDP_Man_Dehyd,NTP_transferase
BGC0000047	M0560	43	7.733	25.128	AS-MGT_c0,GDP_Man_Dehyd,MycE_N,Radical_SAM_c33
BGC0000047	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000047	MG276_M2671_M2745_M2836	43	-20.984	-16.234	AS-MGT_c0,AS-p450_c27
BGC0000047	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000048	MG1484_M0032_M2806_M2894	31	-93.284	-87.627	AS-p450_c26,EHN,NAD_binding_10
BGC0000052	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000052	M0768	124	8.466	16.049	4PPT_N;ACPS_c30,Metallophos,Thioesterase_c3
BGC0000052	M1182	117	7.646	24.325	AS-RmlD_sub_bind_c5,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000052	MG276_M2671_M2745_M2836	43	-20.984	-16.29	AS-AMP-binding_c20,AS-MGT_c0
BGC0000052	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000053	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000053	M1003	294	10.288	10.288	3HCDH_N;3HCDH,AS-fabH_c2
BGC0000053	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000053	M1331	254	7.108	7.108	AS-fabH_c2,Aldo_ket_red
BGC0000053	MG1096_M0401_M0710	192	8.886	16.281	3HCDH_N;3HCDH,AS-fabH_c2,Thioesterase_c39
BGC0000053	MG1488_M0840_M1121	326	18.423	23.636	AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,Hexose_dehydrat
BGC0000053	MG1489_M1416_M1417	369	29.466	29.931	AS-MGT_c0,AS-dTDP_sugar_isom_c2,Epimerase_c16,GDP_Man_Dehyd,Hexose_dehydrat,NTP_transferase
BGC0000053	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000054	M0148	80	8.378	8.378	Abhydrolase_3,Aldo_ket_red
BGC0000054	M0437	179	8.37	8.37	AS-DegT_DnrJ_EryC1_c15,NTP_transferase
BGC0000054	M0545	104	8.772	8.772	Thioesterase_c35,Thioesterase_c37
BGC0000054	M0680	56	10.538	10.538	Methyltransf_13;Methyltransf_23;Methyltransf_14,NTP_transferase
BGC0000054	M1091	81	15.217	20.755	AS-DegT_DnrJ_EryC1_c15,AS-dTDP_sugar_isom_c2,Hexose_dehydrat,Methyltransf_11_c47
BGC0000054	MG1488_M0840_M1121	326	18.423	18.423	AS-MGT_c0,AS-dTDP_sugar_isom_c2,Hexose_dehydrat
BGC0000054	MG476_M0463_M1027	192	9.949	9.949	AS-DegT_DnrJ_EryC1_c15,Thioesterase_c35
BGC0000055	M0301	49	8.346	8.346	AS-p450_c16,Thioesterase_c35
BGC0000055	M0627	29	3.086	3.086	AS-p450_c9,Thioesterase_c35
BGC0000055	M0652	59	9.275	9.275	AS-DegT_DnrJ_EryC1_c15,Epimerase_c16
BGC0000055	M1091	81	15.217	22.404	AS-DegT_DnrJ_EryC1_c15,AS-dTDP_sugar_isom_c2,Epimerase_c16,Hexose_dehydrat
BGC0000055	MG1488_M0840_M1121	326	18.423	25.942	AS-MGT_c0,AS-dTDP_sugar_isom_c2,Hexose_dehydrat,Methyltransf_11_c7
BGC0000055	MG476_M0463_M1027	192	9.949	9.949	AS-DegT_DnrJ_EryC1_c15,Thioesterase_c35
BGC0000060	M0320	121	6.9	6.9	AS-PF00561,NAD_binding_10
BGC0000060	MG1484_M0032_M2806_M2894	31	-93.284	-86.609	AS-PF00561,AS-p450_c26,AS-p450_c29,NAD_binding_10
BGC0000060	MG149_M2827_M2837_M2838	23	-25.855	-22.901	AS-APH_c41,AS-p450_c26
BGC0000065	M0562	75	11.047	24.865	AS-Methyltransf_3_c0,AS-PKS_AT_c24,AS-ksIII_c2,Rieske;KshA_C
BGC0000065	M0824	110	9.323	9.323	FAD_binding_6;NAD_binding_1;Fer2,FA_desaturase
BGC0000065	MG1314_M1251_M1842	399	11.441	11.441	3HCDH_N;3HCDH,AS-PP-binding_c23
BGC0000065	MG1318_M0707_M1134_M1253_M1254_M2037	648	2.128	25.797	3HCDH_N;3HCDH,AS-Methyltransf_3_c0,AS-PP-binding_c23,HAD_2_c20
BGC0000065	MG1484_M0032_M2806_M2894	31	-93.284	-88.804	AS-PKS_AT_c24,AS-ksIII_c2
BGC0000066	MG1314_M1251_M1842	399	11.441	11.441	3HCDH_N;3HCDH,AS-PP-binding_c23
BGC0000066	MG1318_M0707_M1134_M1253_M1254_M2037	648	2.128	25.797	3HCDH_N;3HCDH,AS-Methyltransf_3_c0,AS-PP-binding_c23,HAD_2_c20
BGC0000066	MG494_M1556_M1899_M1903_M1908_M1909_M1911_M1914_M1916_M1917	269	-1.697	7.471	AS-DHQ_synthase_c2,Acetyltransf_2,FAD_binding_3_c37
BGC0000068	MG1318_M0707_M1134_M1253_M1254_M2037	648	2.128	18.349	3HCDH_N;3HCDH,AS-Methyltransf_3_c0,HAD_2_c20
BGC0000068	MG494_M1556_M1899_M1903_M1908_M1909_M1911_M1914_M1916_M1917	269	-1.697	7.471	AS-DHQ_synthase_c2,Acetyltransf_2,FAD_binding_3_c37
BGC0000074	MG1318_M0707_M1134_M1253_M1254_M2037	648	2.128	18.349	3HCDH_N;3HCDH,AS-Methyltransf_3_c0,HAD_2_c20
BGC0000074	MG1484_M0032_M2806_M2894	31	-93.284	-91.585	AS-PP-binding_c28,SnoaL_4
BGC0000075	M0414	109	6.263	6.263	Bac_luciferase,ROK
BGC0000075	MG494_M1556_M1899_M1903_M1908_M1909_M1911_M1914_M1916_M1917	269	-1.697	44.261	AS-DegT_DnrJ_EryC1_c15,Acetyltransf_2,DHquinase_II,FAD_binding_3_c37,GFO_IDH_MocA_c32;GFO_IDH_MocA_C,HAD_2_c30,ROK
BGC0000078	M0089	65	7.348	7.348	AS-Abhydrolase_6,Aldo_ket_red
BGC0000078	M0106	72	8.543	8.543	AS-AMP-binding_c38,AS-Abhydrolase_6
BGC0000078	M0437	179	8.37	14.766	AS-DegT_DnrJ_EryC1_c15,NTP_transferase,UDPG_MGDP_dh_N;UDPG_MGDP_dh;UDPG_MGDP_dh_C
BGC0000078	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000078	M0600	207	7.983	7.983	AS-AMP-binding_c38,Aminotran_1_2
BGC0000078	M0756	228	7.533	7.533	Aminotran_1_2,UDPG_MGDP_dh_N;UDPG_MGDP_dh;UDPG_MGDP_dh_C
BGC0000078	M0866	151	6.772	6.772	Aldo_ket_red,NUDIX
BGC0000078	M0873	126	7.836	7.836	Aldo_ket_red,Glyoxalase_6
BGC0000078	M0888	114	9.654	19.198	3HCDH_N;3HCDH,AS-AMP-binding_c38,AS-PP-binding_c3
BGC0000078	M1090	59	10.581	10.581	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000078	M1193	49	7.159	7.159	3HCDH_N;3HCDH,AS-DegT_DnrJ_EryC1_c15
BGC0000078	MG1318_M0707_M1134_M1253_M1254_M2037	648	2.128	18.349	3HCDH_N;3HCDH,AS-Methyltransf_3_c0,HAD_2_c20
BGC0000078	MG1423_M1723_M1852	74	-6.585	0.404	AS-DegT_DnrJ_EryC1_c47,Hexose_dehydrat
BGC0000078	MG306_M0894_M1259	132	6.856	10.394	Aminotran_1_2,NTP_transferase,UDPG_MGDP_dh_N;UDPG_MGDP_dh;UDPG_MGDP_dh_C
BGC0000078	MG403_M1476_M1496_M2005	63	-41.918	-11.431	AS-AMP-binding_c38,AS-Abhydrolase_6,AS-PIG-L_c4,Aminotran_1_2
BGC0000078	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000078	MG475_M1088_M1089	204	4.345	4.345	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000079	M0889	152	6.563	6.563	AS-AMP-binding_c21,Carboxyl_trans
BGC0000079	M0932	359	6.485	6.485	Carboxyl_trans,Sugar_tr
BGC0000079	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-40.57	AS-AMP-binding_c21,Carboxyl_trans,Lactamase_B
BGC0000081	M0098	170	7.497	7.497	Bac_luciferase,Methyltransf_2
BGC0000081	M0171	91	5.734	8.4	Bac_luciferase,CMD,CoA_transf_3
BGC0000081	M0199	148	8.796	8.796	AS-AMP-binding_c21,AS-ladderane_c23
BGC0000081	M0204	88	10.236	10.236	AS-AMP-binding_c21,AS-PP-binding_c7
BGC0000081	M0206	150	8.073	8.073	Aminotran_1_2,Thioesterase_c35
BGC0000081	M0248	61	7.072	7.072	AS-Abhydrolase_6,CoA_transf_3
BGC0000081	M0253	145	4.078	9.663	AS-Acyl-CoA_dh_N_c10;AS-Acyl-CoA_dh_M_c31;AS-Acyl-CoA_dh_1_c0,Thiolase_N;Thiolase_C
BGC0000081	M0304	159	6.874	6.874	AS-Abhydrolase_6,FMN_red
BGC0000081	M0327	69	8.846	8.846	FMN_red,Thioesterase_c35
BGC0000081	M0329	87	7.501	7.501	AS-p450_c29,Aminotran_1_2
BGC0000081	M0374	121	7.496	16.453	4HBT_2,AS-Abhydrolase_6,Thiolase_N;Thiolase_C
BGC0000081	M0376	97	7.177	7.177	AS-PF00561,CMD
BGC0000081	M0421	147	9.974	9.974	AS-AMP-binding_c21,CoA_transf_3
BGC0000081	M0423	66	8.602	8.602	AS-AMP-binding_c21,Flavin_Reduct
BGC0000081	M0448	314	7.189	7.189	AS-AMP-binding_c21,AS-PF00561
BGC0000081	M0465	184	8.162	8.162	Bac_luciferase,Thioesterase_c35
BGC0000081	M0692	147	7.577	7.577	AS-AMP-binding_c21,Bac_luciferase
BGC0000081	M0714	132	7.375	13.652	AS-Abhydrolase_6,Flavin_Reduct,GMC_oxred_N;GMC_oxred_C_c12
BGC0000081	M0732	272	7.738	7.738	Flavin_Reduct,Thioesterase_c35
BGC0000081	M1024	425	7.571	7.571	Bac_luciferase,Flavin_Reduct
BGC0000081	M1028	150	9.525	9.525	Aldolase_II,Bac_luciferase
BGC0000081	M1272	330	7.271	7.271	AS-AMP-binding_c21,AS-Abhydrolase_6
BGC0000081	M1537	43	39.441	61.463	4HBT_2,AS-Acyl-CoA_dh_N_c10;AS-Acyl-CoA_dh_M_c31;AS-Acyl-CoA_dh_1_c0,AS-ladderane_c23,AS-ladderane_c34,AS-t2fas_c2,Aldolase_II,DSBA,FabA_c17,FabA_c6
BGC0000081	M1614	145	7.742	7.742	Aminotran_1_2,CMD
BGC0000081	M2050	351	9.368	9.368	CoA_transf_3,Thiolase_N;Thiolase_C
BGC0000081	M2124	51	39.872	54.797	4HBT_c40,AS-MGT_c0,AS-p450_c10,DUF1702,FG-GAP_3;UnbV_ASPIC,Flavin_Reduct,GMC_oxred_N;GMC_oxred_C_c12,SnoaL_2_c29
BGC0000081	MG1336_M0511_M0964	411	6.665	8.531	AS-AMP-binding_c21,Thioesterase_c35
BGC0000081	MG1357_M1293_M1551_M1552	336	-9.109	-6.994	Bac_luciferase,Flavin_Reduct,Thioesterase_c35
BGC0000081	MG1378_M2130_M2134_M2150_M2172_M2175_M2176	657	-4.649	52.506	4HBT_c40,CMD,DUF1702,FG-GAP_3;UnbV_ASPIC,Flavin_Reduct,GMC_oxred_N;GMC_oxred_C_c12,MDMPI_N;Wyosine_form,SnoaL_2_c29
BGC0000081	MG1379_M2127_M2129	136	19.237	67.178	4HBT_c40,AS-p450_c10,CMD,DUF1702,FG-GAP_3;UnbV_ASPIC,Flavin_Reduct,GMC_oxred_N;GMC_oxred_C_c12,HpaB_N;HpaB,MDMPI_N;Wyosine_form,SnoaL_2_c29
BGC0000081	MG1381_M2142_M2159	294	18.367	20.024	4HBT_c40,DUF1702,FG-GAP_3;UnbV_ASPIC
